"","city","state","age","gender","income_line","family_life","behaviors","iq","cog_1","cog_2","cog_3"
"1","rockville","MD",12,"Male","under",24,26,122,8,297.0666667,0.955771677
"2","pittsburg","PA",11,"Male","over",26,26,126,7,363.1428571,0.988589471
"3","rockville","MD",11,"Male","over",27,5,108,9,396.0714286,0.998188406
"4","ocean city","MD",13,"Male","under",17,59,90,5,390,0.955781244
"5","rockville","MD",13,"Male","under",19,41,98,6,311.5333333,0.966814424
"6","rockville","MD",11,"Female","under",29,4,104,6,386.7333333,0.940956772
"7","rockville","MD",13,"Male","over",25,5,103,5,636.9333333,0.988585816
"8","philadelphia","PA",11,"Male","under",28,5,109,10,369.4,0.955771677
"9","philadelphia","PA",13,"Male","under",23,29,97,5,358.4666667,0.940956772
"10","ocean city","MD",13,"Female","over",26,4,109,5,345.5333333,0.981818182
"11","pittsburg","PA",12,"Female","over",27,12,102,7,316.9333333,0.92545062
"12","ocean city","MD",12,"Female","under",20,29,88,0,336.5,0.802502994
"13","ocean city","MD",11,"Female","under",22,16,83,5,360,0.861468936
"14","pittsburg","PA",11,"Male","over",25,28,96,2,429.8666667,0.883091724
"15","ocean city","MD",12,"Male","over",19,72,98,NA,315.4666666667,0.9885108924
"16","philadelphia","PA",13,"Female","over",24,36,107,4,313.7333333,0.999094203
"17","ocean city","MD",11,"Female","over",25,59,118,7,396.2307692,0.80952381
"18","rockville","MD",13,"Female","over",29,11,124,7,296.4285714,1
"19","frederick","MD",13,"Female","over",15,25,119,6,291.6,0.964047271
"20","frederick","MD",11,"Female","over",28,26,102,5,476.6,0.931371603
"21","frederick","MD",11,"Male","under",26,9,79,2,337.3846154,0.809641473
"22","rockville","MD",11,"Female","under",25,7,110,8,346.3076923,0.946527723
"23","frederick","MD",11,"Male","over",22,32,88,5,244.2,0.75212408
"24","rockville","MD",11,"Male","under",25,10,87,6,356.3333333,0.986611784
"25","philadelphia","PA",13,"Female","under",25,3,99,9,289.4666667,0.979166667
"26","philadelphia","PA",12,"Male","under",29,35,100,4,396,0.78427495
"27","ocean city","MD",13,"Male","under",16,13,89,5,379.2666667,0.748871971
"28","jessup","MD",12,"Female","under",26,23,75,NA,450.2857143,0.945137279
"29","ocean city","MD",13,"Male","under",22,64,103,5,304.5333333,0.977006998
"30","york","PA",11,"Male","under",19,22,87,NA,337.1538461538,0.8753135452
"31","elkton","MD",12,"Female","under",29,10,125,8,417.4666667,0.979166667
"32","bristol","PA",12,"Female","over",26,41,109,9,323.0666667,0.947916667
"33","bristol","PA",11,"Male","under",32,40,89,5,386.0714286,0.818933202
"34","state college","PA",12,"Female","over",24,19,104,6,344.6666667,0.96875
"35","silver spring","MD",13,"Female","under",22,72,123,9,310.6666667,0.979166667
"36","elkton","MD",13,"Female","under",29,8,100,8,344.3333333,0.979166667
"37","fulton","MD",12,"Male","under",27,22,129,8,369.8666667,0.96875
"38","levittown","PA",12,"Male","over",29,22,101,7,238,0.890846899
"39","silver spring","MD",13,"Male","over",24,39,106,9,482.8571429,0.966400389
"40","langhorne","PA",13,"Male","under",29,7,112,7,370.8666667,0.966391648
"41","bristol","PA",11,"Male","under",29,8,94,6,357.5,0.986600894
"42","baltimore","MD",13,"Female","under",32,10,112,9,366.6,0.998188406
"43","elkton","MD",12,"Female","over",23,22,73,4,433.4285714,0.864583333
"44","levittown","PA",11,"Male","over",26,4,110,7,307.7333333,0.945147739
"45","harrisburg","PA",12,"Male","over",24,21,104,4,271.6666667,0.954503426
"46","baltimore","MD",13,"Female","over",22,45,118,8,279,0.988593098
"47","elkridge","MD",13,"Female","under",31,23,102,8,446.0769231,0.999087591
"48","king of prussia","PA",12,"Male","under",30,11,129,7,337.4666667,0.987602583
"49","newtown","PA",12,"Male","under",26,29,118,5,481.3571429,0.901970991
"50","newtown","PA",13,"Male","under",28,26,98,8,358.0666667,0.957057875
"51","elkridge","MD",11,"Female","under",32,21,109,9,349.8666667,0.989583333
"52","elkton","MD",12,"Male","under",32,10,125,9,311.9333333,1
"53","elkton","MD",13,"Female","under",29,16,118,7,380.1333333,0.989583333
"54","silver spring","MD",13,"Female","over",27,20,99,6,370.6666667,0.96875
"55","silver spring","MD",11,"Male","over",28,51,95,7,284.2222222,0.922140719
"56","canton","MD",12,"Male","under",26,7,108,5,345.8666667,0.978083133
"57","langhorne","PA",12,"Male","under",28,41,119,6,307.0666667,0.979166667
"58","columbia","MD",12,"Female","under",27,6,117,9,261.4666667,0.923828228
"59","westminster","MD",12,"Female","over",26,8,120,8,391,0.934486219
"60","columbia","MD",13,"Male","over",29,10,112,5,457.9285714,0.989583333
"61","columbia","MD",12,"Male","under",30,37,120,8,280.2307692,0.999090909
"62","baltimore","MD",11,"Female","over",30,29,123,8,519.9285714,0.935999731
"63","new hope","PA",11,"Female","over",28,14,111,7,488.1333333,0.94016024
"64","baltimore","MD",12,"Male","over",29,15,110,5,368.3333333,0.896645295
"65","langhorne","PA",13,"Male","over",28,20,106,7,408.9333333,0.999094203
"66","yardly","PA",12,"Male","under",31,13,109,11,463.6666667,0.955771677
